numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
0,512,12500,-20912,-2132,8619,6647
1,7480,7464,-15232,-12335,12868,1644
2,8836,-3336,-14784,-22343,9392,-19909
3,5644,-5896,-17544,3497,14160,-11256
4,4124,-4748,-3852,11792,8058,5609
5,9840,-1356,-7848,-32768,20259,32767
6,12572,-1536,-9860,32767,-15089,1445
7,10604,4568,-11036,32767,-32635,5702
8,15116,10404,-16228,22562,-16791,1856
9,-3216,3704,-19468,22892,-12402,-17822
10,2308,1332,-13952,-13739,-3098,1735
11,7164,-340,-9948,-24966,-112,-23004
12,-1364,2776,-16844,-32768,20116,-15701
13,308,1968,-4148,15314,14117,-13193
14,20428,-1024,-7204,16151,-907,-8975
15,4756,2180,-10852,17386,8771,-187
16,-2040,1492,-15460,9518,9023,-1608
17,160,-4440,-31088,29102,19518,-4258
18,-1140,-8048,-29832,24209,4969,-3376
19,2428,-2456,-30148,-1351,-6122,-4196
20,3356,1032,-21120,-10091,-2368,-3492
21,7400,5928,-12260,-8413,-21583,-8063
22,12076,3380,3200,3492,-31950,-11070
23,11320,-984,2988,13082,-3001,-9602
24,1204,-7044,-3780,-17535,-12018,8279
25,-10656,-3984,-6592,26231,32767,1025
26,-3916,-7432,-32768,32767,32767,-13645
27,1504,-1304,-24624,-9100,-7864,6314
28,1420,-2036,-18724,-32768,-2460,4234
29,5460,-352,-9812,-4837,11184,-9658
30,15324,-5992,8844,4216,-4517,-4373
31,11032,-7908,11896,28138,303,-2106
32,-4680,-7380,-32768,32767,32767,517
33,2504,-220,-32768,-8051,1704,-3570
34,3420,104,-32768,-32768,6226,-7397
35,-888,-3524,-11568,-32768,-310,-11849
36,32767,-7880,32767,29533,7191,-1559
37,17200,-2120,17476,28551,-11536,-2318
38,-1288,-6084,-18224,-2673,-26465,20896
39,-5896,16192,-32768,-5093,-8653,-4295
40,-2452,2168,-29720,10316,32767,7342
41,1656,7064,-8456,-32768,18450,-11951
42,100,-11168,14472,32767,-12834,-32768
43,32032,6944,20468,32767,4017,23855
44,-23780,-7564,-30176,-32768,-32768,3759
45,-26092,23276,-32768,-24112,14856,-4340
46,-6976,11908,-22008,6995,32767,20003
47,2392,2896,3024,-25725,32767,6230
48,11716,-14128,15652,6177,-12910,2827
49,-2616,3068,-21912,2773,-32768,741
50,-5192,19660,-32768,-10661,-8102,-271
